timestamp,cpu_percent,mem_usage_mb,mem_limit_gb,mem_percent,net_in_mb,net_out_mb,block_in_mb,block_out_mb
1759875595,10.95,404.40,7.43,5.31,682.00,434.00,27.00,1.66
1759875602,4.55,406.20,7.43,5.34,1.06,2.34,27.00,1.67
1759875609,4.48,407.00,7.43,5.35,1.09,2.35,27.00,2.52
1759875615,1.67,407.00,7.43,5.35,1.10,2.35,27.00,2.53
1759875623,8.77,408.00,7.43,5.36,1.89,4.56,27.00,3.38
1759875630,5.31,409.30,7.43,5.38,1.92,4.57,27.00,3.38
1759875636,95.62,408.80,7.43,5.37,1.94,4.57,27.00,3.48
1759875644,4.38,409.30,7.43,5.38,2.71,5.64,27.00,3.49
1759875651,4.83,409.10,7.43,5.37,2.74,6.71,27.00,4.32
